0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-9888.0,-12540.0,1272.0,-1917.0,3488.0,1758.0,-6976.0,-8820.0,11252.0,-4411.0,5430.0,-1267.0,15376.0,-4420.0,52.0,-2690.0,-1580.0,-1117.0
-9600.0,-12760.0,1128.0,-1392.0,2304.0,1115.0,-6976.0,-8696.0,11460.0,-3489.0,4323.0,-1325.0,15212.0,-5192.0,-184.0,-1453.0,-1461.0,-833.0
-9560.0,-12992.0,1092.0,-621.0,1878.0,1370.0,-6124.0,-9496.0,11736.0,-3001.0,3750.0,-1137.0,14836.0,-4228.0,452.0,-2497.0,16.0,-323.0
-10264.0,-12728.0,1424.0,-122.0,1641.0,1890.0,-6936.0,-9816.0,10016.0,-1144.0,2964.0,-40.0,15192.0,-5180.0,1664.0,-2910.0,934.0,264.0
-10816.0,-12092.0,1904.0,522.0,756.0,1634.0,-7452.0,-7512.0,12252.0,65.0,2526.0,332.0,15336.0,-5392.0,2356.0,-2563.0,1033.0,1202.0
-9648.0,-11480.0,1724.0,-135.0,-584.0,1345.0,-7272.0,-7336.0,12508.0,-282.0,1506.0,993.0,16508.0,-7228.0,3432.0,-2265.0,106.0,975.0
-9792.0,-11816.0,2128.0,-1244.0,493.0,949.0,-8484.0,-4868.0,14428.0,-1797.0,725.0,700.0,16036.0,-6876.0,2088.0,-1551.0,-791.0,20.0
-9876.0,-11544.0,2164.0,-1607.0,1209.0,790.0,-8056.0,-6328.0,13092.0,-2768.0,615.0,-40.0,16012.0,-6800.0,2164.0,-1873.0,-433.0,-670.0
-10164.0,-12408.0,2320.0,-2157.0,1061.0,399.0,-7424.0,-6548.0,13820.0,-2465.0,920.0,-303.0,14852.0,-6732.0,-704.0,269.0,-880.0,-999.0
-10396.0,-11728.0,1384.0,-895.0,1195.0,922.0,-7104.0,-9124.0,10452.0,-2490.0,1401.0,-359.0,14200.0,-3880.0,2040.0,-796.0,205.0,-306.0
-10560.0,-12620.0,1116.0,-516.0,275.0,884.0,-6812.0,-9236.0,11624.0,-522.0,1042.0,411.0,14920.0,-4968.0,512.0,802.0,-483.0,576.0
-9860.0,-12640.0,344.0,461.0,-444.0,1343.0,-5796.0,-10072.0,11884.0,-1115.0,736.0,841.0,14744.0,-2424.0,1744.0,-1051.0,789.0,2313.0
-9800.0,-12972.0,176.0,780.0,-1082.0,2349.0,-6032.0,-10736.0,11552.0,296.0,721.0,2364.0,15924.0,-4572.0,376.0,74.0,196.0,3167.0
-10136.0,-12280.0,-512.0,365.0,-1529.0,2107.0,-8392.0,-8628.0,11088.0,595.0,720.0,2642.0,16500.0,-4292.0,632.0,1498.0,114.0,3219.0
-9984.0,-13028.0,-440.0,-302.0,-1920.0,1268.0,-7408.0,-9776.0,11544.0,160.0,25.0,2263.0,16780.0,-5160.0,-928.0,3235.0,650.0,2541.0
